 ,Area,Mean,Min,Max,Perim.
1,247.961,255,255,255,57.721
2,108.320,255,255,255,40.504
3,1693.964,255,255,255,160.355
4,185.318,255,255,255,50.982
5,75.693,255,255,255,31.480
6,75.693,255,255,255,31.757
7,96.574,255,255,255,35.380
8,1021.860,255,255,255,125.366
9,2966.395,255,255,255,204.205
10,24.796,255,255,255,17.494
11,52.202,255,255,255,26.911
12,103.100,255,255,255,39.950
13,238.825,255,255,255,57.721
14,5106.688,255,255,255,269.727
15,20.881,255,255,255,16.825
16,84.829,255,255,255,33.765
17,33.931,255,255,255,22.341
18,1653.507,255,255,255,153.223
19,44.372,255,255,255,23.957
20,30.016,255,255,255,19.779
21,261.011,255,255,255,61.622
22,50.897,255,255,255,25.295
23,27.406,255,255,255,17.494
24,28.711,255,255,255,20.056
25,1267.210,255,255,255,141.522
26,3129.527,255,255,255,226.546
27,39.152,255,255,255,23.957
28,4003.915,255,255,255,237.693
29,46.982,255,255,255,24.349
30,60.033,255,255,255,30.419
31,180.098,255,255,255,49.644
32,160.522,255,255,255,49.252
33,61.338,255,255,255,28.526
34,101.794,255,255,255,36.996
35,26.101,255,255,255,18.441
36,90.049,255,255,255,34.319
37,4502.447,255,255,255,251.841
38,26.101,255,255,255,18.441
39,90.049,255,255,255,33.373
40,90.049,255,255,255,34.711
41,27.406,255,255,255,18.163
42,24.796,255,255,255,18.163
43,37.847,255,255,255,22.064
44,236.215,255,255,255,56.498
45,36.542,255,255,255,21.003
46,1456.444,255,255,255,149.992
47,32.626,255,255,255,21.672
48,22.186,255,255,255,16.825
49,71.778,255,255,255,31.088
50,980.098,255,255,255,119.066
51,53.507,255,255,255,26.911
52,97.879,255,255,255,35.380
53,1305.057,255,255,255,139.906
54,32.626,255,255,255,20.056
55,113.540,255,255,255,42.397
56,390.212,255,255,255,74.939
57,40.457,255,255,255,24.626
58,155.302,255,255,255,49.252
59,4164.437,255,255,255,246.717
60,70.473,255,255,255,30.142
61,67.863,255,255,255,29.473
