 ,Area,Mean,Min,Max,Perim.
1,19,255,255,255,16.142
2,5906,255,255,255,294.593
3,23,255,255,255,17.899
4,5227,255,255,255,270.836
5,4477,255,255,255,248.836
6,78,255,255,255,32.385
7,1370,255,255,255,138.368
8,9895,255,255,255,383.789
9,7790,255,255,255,329.806
10,7766,255,255,255,347.505
11,9677,255,255,255,370.233
12,16,255,255,255,15.314
13,21,255,255,255,18.142
14,82,255,255,255,34.284
15,7058,255,255,255,317.848
16,23,255,255,255,18.142
17,41,255,255,255,22.728
18,183,255,255,255,49.698
19,297,255,255,255,63.598
20,9271,255,255,255,361.404
21,6196,255,255,255,298.635
22,10929,255,255,255,398.375
23,60,255,255,255,29.213
24,3363,255,255,255,219.723
25,10,255,255,255,10.485
26,192,255,255,255,51.355
27,2857,255,255,255,197.966
28,73,255,255,255,30.385
29,8123,255,255,255,339.948
30,12,255,255,255,13.314
31,506,255,255,255,85.154
32,16231,255,255,255,493.872
33,7053,255,255,255,318.777
34,153,255,255,255,46.284
35,19,255,255,255,16.728
36,12548,255,255,255,423.931
37,12238,255,255,255,426.759
38,5431,255,255,255,274.978
39,11353,255,255,255,402.274
40,79,255,255,255,32.385
41,13786,255,255,255,454.801
42,170,255,255,255,47.698
43,7015,255,255,255,317.563
44,7441,255,255,255,328.434
45,8770,255,255,255,356.576
46,302,255,255,255,63.355
47,96,255,255,255,36.870
48,6234,255,255,255,296.735
49,492,255,255,255,82.669
50,3269,255,255,255,214.551
51,27,255,255,255,18.485
52,5310,255,255,255,274.250
53,3336,255,255,255,218.208
54,15471,255,255,255,475.144
55,2667,255,255,255,193.823
56,4227,255,255,255,244.108
57,554,255,255,255,88.912
58,27,255,255,255,18.728
59,14,255,255,255,14.728
60,301,255,255,255,64.184
61,32,255,255,255,20.728
62,25,255,255,255,17.314
63,1918,255,255,255,162.024
64,445,255,255,255,79.012
65,200,255,255,255,52.527
66,2980,255,255,255,203.480
67,35,255,255,255,21.314
68,12727,255,255,255,440.416
69,3992,255,255,255,237.279
70,102,255,255,255,37.213
71,36,255,255,255,21.899
72,14,255,255,255,14.485
73,110,255,255,255,38.627
74,2971,255,255,255,203.723
75,2768,255,255,255,201.823
76,105,255,255,255,37.213
77,1482,255,255,255,146.267
78,32,255,255,255,19.314
79,36,255,255,255,22.385
