 ,Area,Mean,Min,Max,Perim.
1,2236.738,255,255,255,181.135
2,9.237,255,255,255,10.420
3,232.251,255,255,255,56.139
4,32.990,255,255,255,21.514
5,26.392,255,255,255,19.216
6,44.867,255,255,255,25.436
7,54.104,255,255,255,26.781
8,30.351,255,255,255,19.889
9,245.447,255,255,255,58.437
10,3461.335,255,255,255,223.884
11,1283.980,255,255,255,137.993
12,149.116,255,255,255,44.373
13,18.475,255,255,255,15.294
14,6562.418,255,255,255,315.600
15,67.300,255,255,255,32.213
16,347.057,255,255,255,71.154
17,10.557,255,255,255,10.420
18,44.867,255,255,255,26.109
19,1703.616,255,255,255,162.477
20,25.073,255,255,255,18.264
21,83.135,255,255,255,33.280
22,14.516,255,255,255,13.669
23,19.794,255,255,255,17.592
24,1277.382,255,255,255,140.569
25,304.830,255,255,255,68.463
26,9.237,255,255,255,12.045
27,1103.193,255,255,255,129.591
28,14.516,255,255,255,13.669
29,13.196,255,255,255,12.045
30,6.598,255,255,255,8.796
31,62.022,255,255,255,27.733
32,30.351,255,255,255,18.937
33,290.314,255,255,255,64.935
34,15.835,255,255,255,13.669
35,62.022,255,255,255,27.060
36,2147.004,255,255,255,177.213
37,5022.433,255,255,255,272.179
38,10.557,255,255,255,10.420
39,5.278,255,255,255,6.498
40,47.506,255,255,255,24.763
41,373.449,255,255,255,75.076
42,32.990,255,255,255,21.235
43,51.465,255,255,255,26.109
44,5.278,255,255,255,6.498
45,36.949,255,255,255,22.186
46,188.704,255,255,255,53.842
47,26.392,255,255,255,19.495
48,224.334,255,255,255,58.042
49,271.840,255,255,255,65.214
50,4326.999,255,255,255,260.134
51,117.445,255,255,255,42.354
52,23.753,255,255,255,16.640
53,7.918,255,255,255,10.420
54,27.712,255,255,255,19.495
55,23.753,255,255,255,18.543
56,63.341,255,255,255,30.588
57,5.278,255,255,255,8.796
58,810.240,255,255,255,109.308
59,10.557,255,255,255,12.045
60,13.196,255,255,255,12.045
61,35.629,255,255,255,22.186
62,11.876,255,255,255,12.045
63,630.773,255,255,255,97.936
64,106.888,255,255,255,37.875
65,266.561,255,255,255,63.868
66,5.278,255,255,255,8.796
67,7309.316,255,255,255,336.162
68,65.980,255,255,255,31.655
69,5.278,255,255,255,8.123
70,238.849,255,255,255,60.340
71,2487.464,255,255,255,194.132
72,9.237,255,255,255,11.372
73,51.465,255,255,255,25.714
74,138.559,255,255,255,45.603
75,106.888,255,255,255,39.105
76,30.351,255,255,255,20.841
77,80.496,255,255,255,33.558
78,14.516,255,255,255,13.669
79,182.106,255,255,255,50.477
80,47.506,255,255,255,26.109
81,11.876,255,255,255,11.093
82,29.031,255,255,255,20.841
83,6377.672,255,255,255,306.525
84,265.241,255,255,255,61.964
85,162.312,255,255,255,49.641
86,15.835,255,255,255,15.294
87,6.598,255,255,255,9.747
88,358.934,255,255,255,74.682
89,38.269,255,255,255,22.465
90,455.265,255,255,255,81.853
91,6.598,255,255,255,9.747
92,58.063,255,255,255,29.358
93,6.598,255,255,255,8.796
94,6.598,255,255,255,8.123
95,50.145,255,255,255,26.109
96,6.598,255,255,255,8.796
97,369.491,255,255,255,75.634
98,3663.236,255,255,255,232.401
99,13.196,255,255,255,13.669
100,7.918,255,255,255,9.747
101,40.908,255,255,255,24.763
102,10.557,255,255,255,12.045
103,55.424,255,255,255,28.406
104,727.105,255,255,255,104.713
105,31.671,255,255,255,19.889
106,133.281,255,255,255,44.373
107,9.237,255,255,255,10.420
108,5.278,255,255,255,8.123
109,21.114,255,255,255,16.640
110,18.475,255,255,255,16.919
111,17.155,255,255,255,13.669
112,19.794,255,255,255,16.919
113,114.806,255,255,255,39.384
114,31.671,255,255,255,19.889
115,3285.827,255,255,255,220.403
116,23.753,255,255,255,17.870
117,26.392,255,255,255,19.216
118,229.612,255,255,255,56.418
119,44.867,255,255,255,23.811
120,26.392,255,255,255,18.543
121,158.353,255,255,255,46.949
122,112.167,255,255,255,41.681
123,43.547,255,255,255,25.436
124,10.557,255,255,255,10.420
125,30.351,255,255,255,19.889
126,9.237,255,255,255,11.093
127,1633.676,255,255,255,153.123
128,18.475,255,255,255,15.967
129,6.598,255,255,255,8.796
130,67.300,255,255,255,30.309
131,17.155,255,255,255,13.669
132,645.289,255,255,255,98.888
133,22.433,255,255,255,18.264
134,14.516,255,255,255,13.669
135,370.810,255,255,255,75.749
136,137.239,255,255,255,43.700
137,6.598,255,255,255,8.796
138,44.867,255,255,255,23.811
139,44.867,255,255,255,23.138
140,10.557,255,255,255,12.045
141,22.433,255,255,255,16.919
142,167.590,255,255,255,51.150
143,15.835,255,255,255,15.294
144,30.351,255,255,255,21.514
145,48.826,255,255,255,24.763
146,32.990,255,255,255,20.562
147,51.465,255,255,255,26.387
148,79.177,255,255,255,32.886
149,5.278,255,255,255,6.498
150,11.876,255,255,255,12.045
151,23.753,255,255,255,16.919
