 ,Area,Mean,Min,Max,Perim.
1,1328.847,255,255,255,139.338
2,976.511,255,255,255,117.431
3,1154.658,255,255,255,127.572
4,2116.653,255,255,255,179.953
5,1554.500,255,255,255,149.480
6,1394.827,255,255,255,141.242
7,848.509,255,255,255,109.308
8,1468.725,255,255,255,146.904
9,1761.679,255,255,255,166.120
10,997.625,255,255,255,120.517
11,815.519,255,255,255,111.490
12,873.581,255,255,255,109.308
13,571.391,255,255,255,91.601
14,1022.697,255,255,255,124.881
15,1166.535,255,255,255,134.465
16,1747.163,255,255,255,159.900
17,905.252,255,255,255,113.509
18,1764.318,255,255,255,159.785
19,1442.333,255,255,255,149.086
20,2462.391,255,255,255,192.228
21,650.567,255,255,255,99.839
22,318.026,255,255,255,68.184
23,1883.083,255,255,255,167.350
24,893.376,255,255,255,110.932
25,186.065,255,255,255,49.920
26,775.930,255,255,255,104.992
27,735.022,255,255,255,104.040
28,1967.538,255,255,255,170.321
29,1751.122,255,255,255,161.246
30,95.012,255,255,255,35.577
31,1400.106,255,255,255,147.183
32,1092.637,255,255,255,124.323
33,3163.104,255,255,255,210.493
34,1153.339,255,255,255,129.870
35,630.773,255,255,255,95.523
36,859.066,255,255,255,113.787
37,864.344,255,255,255,108.356
38,608.340,255,255,255,95.917
39,13.196,255,255,255,12.045
40,570.071,255,255,255,93.898
41,1177.092,255,255,255,130.379
42,1006.862,255,255,255,123.093
43,1072.842,255,255,255,123.766
44,1980.734,255,255,255,170.042
45,583.267,255,255,255,89.419
46,793.085,255,255,255,109.308
47,1063.605,255,255,255,127.178
48,845.870,255,255,255,113.230
49,93.692,255,255,255,35.183
50,1030.615,255,255,255,120.401
51,1342.043,255,255,255,144.097
52,2552.125,255,255,255,190.604
53,673.001,255,255,255,100.118
54,1724.729,255,255,255,159.900
55,1960.940,255,255,255,167.350
56,2170.757,255,255,255,179.116
57,530.483,255,255,255,89.188
58,415.677,255,255,255,78.604
59,845.870,255,255,255,110.932
60,753.497,255,255,255,105.895
61,2603.589,255,255,255,192.228
62,1313.011,255,255,255,140.290
63,1261.547,255,255,255,138.223
64,1549.221,255,255,255,147.183
65,1483.241,255,255,255,148.250
66,81.816,255,255,255,33.558
67,826.075,255,255,255,110.817
68,1460.808,255,255,255,145.837
69,453.946,255,255,255,81.296
70,1942.465,255,255,255,171.388
71,687.516,255,255,255,103.482
72,1914.753,255,255,255,171.503
73,910.530,255,255,255,112.951
74,827.395,255,255,255,112.394
75,1173.133,255,255,255,133.119
76,1212.721,255,255,255,129.312
77,337.820,255,255,255,71.154
78,794.405,255,255,255,107.683
79,426.234,255,255,255,76.307
80,1881.763,255,255,255,162.313
81,2243.336,255,255,255,185.057
82,64.661,255,255,255,28.963
83,368.171,255,255,255,73.058
84,471.101,255,255,255,85.776
85,288.994,255,255,255,64.377
86,3223.806,255,255,255,221.144
87,657.165,255,255,255,101.348
88,826.075,255,255,255,112.672
89,1155.978,255,255,255,131.100
90,700.713,255,255,255,101.973
91,1204.803,255,255,255,133.792
92,1749.802,255,255,255,163.149
93,354.975,255,255,255,71.433
94,1661.388,255,255,255,158.554
95,1240.433,255,255,255,137.156
96,2092.901,255,255,255,172.897
97,1480.602,255,255,255,150.316
98,874.901,255,255,255,113.230
99,1850.092,255,255,255,169.648
100,1378.992,255,255,255,144.770
101,647.928,255,255,255,97.263
102,593.824,255,255,255,96.033
103,1316.970,255,255,255,136.368
104,2835.841,255,255,255,200.072
105,1225.917,255,255,255,130.937
106,1158.617,255,255,255,134.465
107,126.683,255,255,255,40.730
108,721.826,255,255,255,101.464
109,1014.780,255,255,255,120.795
110,2689.364,255,255,255,200.072
111,1930.589,255,255,255,171.388
112,1987.332,255,255,255,167.187
113,2428.081,255,255,255,185.730
114,570.071,255,255,255,90.370
115,1327.527,255,255,255,141.636
116,905.252,255,255,255,112.557
117,2292.162,255,255,255,185.336
118,2074.426,255,255,255,174.243
119,1790.710,255,255,255,166.283
120,1232.515,255,255,255,131.494
121,2867.511,255,255,255,204.552
122,526.524,255,255,255,87.121
123,1979.414,255,255,255,170.321
124,760.095,255,255,255,106.847
125,1949.063,255,255,255,170.994
126,2041.436,255,255,255,178.443
127,2922.935,255,255,255,211.839
128,530.483,255,255,255,86.448
129,233.571,255,255,255,56.697
130,855.107,255,255,255,108.635
131,1595.408,255,255,255,156.930
132,859.066,255,255,255,113.624
133,139.879,255,255,255,42.354
134,1012.140,255,255,255,122.026
135,1398.786,255,255,255,144.049
136,828.715,255,255,255,109.981
137,1132.225,255,255,255,130.821
138,1745.843,255,255,255,160.967
139,1273.423,255,255,255,135.926
140,407.759,255,255,255,75.355
141,2149.644,255,255,255,177.607
142,89.733,255,255,255,34.510
143,427.553,255,255,255,79.950
144,2074.426,255,255,255,172.897
145,897.334,255,255,255,116.758
146,1595.408,255,255,255,155.305
147,1943.785,255,255,255,172.176
148,1154.658,255,255,255,133.744
149,2307.997,255,255,255,186.288
150,2718.395,255,255,255,195.987
151,1126.946,255,255,255,130.821
152,1575.614,255,255,255,153.008
153,183.426,255,255,255,49.920
154,521.246,255,255,255,86.843
155,38.269,255,255,255,24.090
156,692.795,255,255,255,101.185
157,732.383,255,255,255,101.185
158,31.671,255,255,255,21.514
159,671.681,255,255,255,100.118
160,1408.023,255,255,255,146.115
161,1452.890,255,255,255,142.982
162,777.250,255,255,255,105.386
163,1290.578,255,255,255,134.465
164,2354.183,255,255,255,185.893
165,160.992,255,255,255,45.998
166,1343.362,255,255,255,142.193
