 ,Area,Mean,Min,Max,Perim.
1,13.196,255,255,255,14.342
2,27.712,255,255,255,19.495
3,34.310,255,255,255,20.562
4,55.424,255,255,255,27.733
5,101.610,255,255,255,38.153
6,11.876,255,255,255,12.718
7,13.196,255,255,255,13.669
8,42.228,255,255,255,23.811
9,11.876,255,255,255,12.997
10,71.259,255,255,255,32.607
11,43.547,255,255,255,23.532
12,170.230,255,255,255,51.150
13,150.435,255,255,255,46.949
14,187.385,255,255,255,53.563
15,22.433,255,255,255,17.870
16,3935.075,255,255,255,239.178
17,31.671,255,255,255,21.792
18,10.557,255,255,255,12.045
19,46.186,255,255,255,26.387
20,56.743,255,255,255,28.963
21,32.990,255,255,255,20.562
22,91.053,255,255,255,34.904
23,46.186,255,255,255,25.436
24,10.557,255,255,255,10.420
25,246.767,255,255,255,60.340
26,11.876,255,255,255,12.045
27,143.837,255,255,255,45.325
28,113.486,255,255,255,39.499
29,10.557,255,255,255,10.420
30,47.506,255,255,255,25.714
31,19.794,255,255,255,15.967
32,608.340,255,255,255,97.147
33,456.585,255,255,255,80.902
34,23.753,255,255,255,16.919
35,459.224,255,255,255,83.757
36,25.073,255,255,255,17.592
37,47.506,255,255,255,25.714
38,128.002,255,255,255,44.652
39,44.867,255,255,255,24.763
40,30.351,255,255,255,19.889
41,100.290,255,255,255,37.202
42,1039.852,255,255,255,124.323
43,113.486,255,255,255,40.451
44,143.837,255,255,255,45.325
45,2895.223,255,255,255,211.839
46,30.351,255,255,255,21.514
47,14.516,255,255,255,12.718
48,42.228,255,255,255,24.090
49,73.898,255,255,255,32.607
50,121.404,255,255,255,40.730
51,11.876,255,255,255,12.718
52,18.475,255,255,255,15.294
53,455.265,255,255,255,84.430
54,21.114,255,255,255,17.592
55,560.834,255,255,255,91.995
56,3076.010,255,255,255,219.567
57,71.259,255,255,255,32.213
58,71.259,255,255,255,31.655
59,36.949,255,255,255,21.514
60,159.673,255,255,255,47.343
61,23.753,255,255,255,18.543
62,17.155,255,255,255,15.967
63,95.012,255,255,255,35.462
64,14.516,255,255,255,13.669
65,73.898,255,255,255,33.558
66,23.753,255,255,255,18.264
67,84.455,255,255,255,35.183
68,142.518,255,255,255,44.373
69,39.588,255,255,255,23.417
70,43.547,255,255,255,24.484
71,365.532,255,255,255,74.404
72,34.310,255,255,255,22.186
73,211.138,255,255,255,56.418
74,159.673,255,255,255,48.852
75,89.733,255,255,255,35.856
76,18.475,255,255,255,15.967
77,27.712,255,255,255,20.841
78,13.196,255,255,255,14.342
79,15.835,255,255,255,15.294
80,43.547,255,255,255,24.090
81,25.073,255,255,255,17.592
82,67.300,255,255,255,31.261
83,18.475,255,255,255,15.967
84,225.653,255,255,255,57.369
85,65.980,255,255,255,29.358
86,80.496,255,255,255,31.934
87,10.557,255,255,255,12.045
88,21.114,255,255,255,16.919
89,11.876,255,255,255,12.045
90,29.031,255,255,255,19.495
91,27.712,255,255,255,18.264
92,124.043,255,255,255,43.027
93,29.031,255,255,255,18.937
94,22.433,255,255,255,17.592
95,180.786,255,255,255,51.265
96,22.433,255,255,255,17.592
97,873.581,255,255,255,113.509
98,21.114,255,255,255,15.967
99,199.261,255,255,255,55.745
100,100.290,255,255,255,38.153
101,68.620,255,255,255,32.607
102,68.620,255,255,255,30.982
103,46.186,255,255,255,26.781
104,543.679,255,255,255,91.601
105,39.588,255,255,255,23.811
106,47.506,255,255,255,25.830
107,73.898,255,255,255,32.886
108,1177.092,255,255,255,130.937
109,226.973,255,255,255,56.139
110,15.835,255,255,255,15.688
111,17.155,255,255,255,15.294
112,67.300,255,255,255,28.685
113,59.382,255,255,255,30.309
114,125.363,255,255,255,43.979
115,163.632,255,255,255,50.198
116,254.685,255,255,255,62.637
117,35.629,255,255,255,23.138
118,36.949,255,255,255,22.465
119,42.228,255,255,255,25.714
120,220.375,255,255,255,58.715
121,2509.897,255,255,255,195.756
122,1850.092,255,255,255,169.254
123,75.218,255,255,255,30.982
124,10.557,255,255,255,12.045
125,15.835,255,255,255,13.669
126,43.547,255,255,255,24.090
127,23.753,255,255,255,17.592
128,248.087,255,255,255,60.619
129,60.702,255,255,255,27.733
130,109.528,255,255,255,38.826
131,95.012,255,255,255,35.856
132,15.835,255,255,255,15.294
133,71.259,255,255,255,32.607
134,29.031,255,255,255,20.841
135,124.043,255,255,255,40.451
136,79.177,255,255,255,34.231
137,77.857,255,255,255,33.837
138,79.177,255,255,255,34.231
139,14.516,255,255,255,13.669
140,17.155,255,255,255,15.967
141,1152.019,255,255,255,133.398
142,18.475,255,255,255,15.967
143,10.557,255,255,255,12.045
144,5096.331,255,255,255,277.446
145,39.588,255,255,255,23.138
146,77.857,255,255,255,34.231
147,27.712,255,255,255,19.889
148,64.661,255,255,255,29.358
149,10.557,255,255,255,12.045
150,29.031,255,255,255,19.610
151,58.063,255,255,255,28.406
152,233.571,255,255,255,59.388
153,98.971,255,255,255,38.432
154,740.301,255,255,255,106.222
155,89.733,255,255,255,37.086
156,17.155,255,255,255,15.967
157,17.155,255,255,255,15.967
158,151.755,255,255,255,47.228
159,17.155,255,255,255,15.294
