 ,Area,Mean,Min,Max,Perim.
1,45.641,255,255,255,24.616
2,10.432,255,255,255,10.359
3,92.587,255,255,255,37.259
4,32.601,255,255,255,20.440
5,108.235,255,255,255,39.543
6,5250.049,255,255,255,276.750
7,15.648,255,255,255,13.589
8,62.594,255,255,255,29.184
9,35.209,255,255,255,23.001
10,19.561,255,255,255,15.872
11,37.817,255,255,255,20.717
12,46.945,255,255,255,26.231
13,24.777,255,255,255,18.433
14,6391.080,255,255,255,306.603
15,15.648,255,255,255,14.926
16,4938.384,255,255,255,263.000
17,13.040,255,255,255,12.643
18,10923.909,255,255,255,402.230
19,15.648,255,255,255,14.535
20,23.473,255,255,255,17.487
21,18.257,255,255,255,15.872
22,44.337,255,255,255,23.670
23,26.081,255,255,255,17.487
24,36.513,255,255,255,21.663
25,138.228,255,255,255,42.495
26,147.356,255,255,255,45.333
27,18478.190,255,255,255,514.742
28,10.432,255,255,255,11.974
29,19.561,255,255,255,15.204
30,70.418,255,255,255,31.745
31,11.736,255,255,255,11.974
32,464.237,255,255,255,78.139
33,6471.931,255,255,255,308.448
34,16.952,255,255,255,13.589
35,40.425,255,255,255,22.724
36,166.917,255,255,255,49.070
37,10716.568,255,255,255,407.189
38,71.722,255,255,255,33.360
39,46.945,255,255,255,26.231
40,370.346,255,255,255,71.679
41,14992.502,255,255,255,467.287
42,39.121,255,255,255,22.332
43,131.708,255,255,255,45.333
44,211.254,255,255,255,55.969
45,19.561,255,255,255,14.926
46,46.945,255,255,255,24.616
47,174.741,255,255,255,48.955
48,178.653,255,255,255,49.901
49,11.736,255,255,255,12.920
50,13.040,255,255,255,11.974
51,31.297,255,255,255,19.771
52,21396.623,255,255,255,550.663
53,4536.741,255,255,255,259.263
54,19.561,255,255,255,15.872
55,37.817,255,255,255,21.386
56,100.411,255,255,255,38.205
57,24.777,255,255,255,17.487
58,29.993,255,255,255,20.717
59,14.344,255,255,255,12.920
60,27.385,255,255,255,18.156
61,9099.563,255,255,255,365.478
62,2656.321,255,255,255,201.956
63,109.539,255,255,255,38.874
64,920.649,255,255,255,117.796
65,10.432,255,255,255,10.359
66,500.750,255,255,255,82.430
67,11.736,255,255,255,11.974
68,3197.496,255,255,255,223.505
69,20.865,255,255,255,16.541
70,203.430,255,255,255,52.185
71,185.173,255,255,255,51.239
72,29.993,255,255,255,19.102
73,16.952,255,255,255,15.204
74,143.444,255,255,255,45.611
75,43.033,255,255,255,23.670
76,15545.413,255,255,255,472.801
77,11659.386,255,255,255,408.250
78,26.081,255,255,255,19.379
79,15.648,255,255,255,13.589
80,23.473,255,255,255,16.818
81,16.952,255,255,255,14.257
82,16.952,255,255,255,15.204
83,59.986,255,255,255,27.846
84,15.648,255,255,255,13.589
85,13.040,255,255,255,13.589
86,62.594,255,255,255,28.515
87,59.986,255,255,255,29.461
88,44.337,255,255,255,24.616
89,350.786,255,255,255,71.679
90,331.225,255,255,255,67.780
91,105.627,255,255,255,37.928
92,13.040,255,255,255,11.974
93,13.040,255,255,255,11.974
94,15.648,255,255,255,14.257
95,11.736,255,255,255,11.974
96,335.137,255,255,255,68.449
97,100.411,255,255,255,39.151
98,56.074,255,255,255,27.569
99,82.154,255,255,255,35.367
100,513.790,255,255,255,84.045
101,371.650,255,255,255,73.686
102,149.964,255,255,255,45.056
103,66.506,255,255,255,31.076
104,22.169,255,255,255,18.433
105,20.865,255,255,255,16.150
106,27.385,255,255,255,19.102
107,54.770,255,255,255,25.954
108,27.385,255,255,255,19.771
109,331.225,255,255,255,68.841
110,9202.582,255,255,255,365.478
111,74.330,255,255,255,30.799
112,29.993,255,255,255,20.717
113,76.938,255,255,255,34.029
114,14.344,255,255,255,12.920
115,27.385,255,255,255,19.771
116,26.081,255,255,255,18.156
117,713.308,255,255,255,101.532
118,5497.816,255,255,255,288.055
119,52.161,255,255,255,25.285
120,13.040,255,255,255,14.257
121,80.850,255,255,255,32.691
122,26.081,255,255,255,17.487
123,33.905,255,255,255,21.386
124,31.297,255,255,255,20.440
125,89.978,255,255,255,37.259
126,53.465,255,255,255,25.954
127,16.952,255,255,255,14.257
128,13.040,255,255,255,13.589
129,13.040,255,255,255,13.589
130,546.391,255,255,255,91.451
131,33.905,255,255,255,20.717
132,23.473,255,255,255,17.487
133,396.427,255,255,255,74.909
134,1503.553,255,255,255,146.034
135,31.297,255,255,255,20.048
136,84.762,255,255,255,32.414
137,37.817,255,255,255,23.947
138,3473.952,255,255,255,225.120
139,122.579,255,255,255,41.158
140,24.777,255,255,255,16.818
141,19.561,255,255,255,14.926
142,37.817,255,255,255,23.947
143,101.715,255,255,255,36.313
144,32.601,255,255,255,21.386
145,14.344,255,255,255,12.643
146,11.736,255,255,255,11.974
147,11.736,255,255,255,11.974
148,495.534,255,255,255,83.376
149,259.503,255,255,255,63.490
150,191.693,255,255,255,52.854
151,225.598,255,255,255,58.645
152,15956.184,255,255,255,479.261
153,15.648,255,255,255,13.589
154,146.052,255,255,255,46.279
155,5418.270,255,255,255,281.825
156,18.257,255,255,255,15.204
157,10.432,255,255,255,10.359
158,23.473,255,255,255,17.487
159,19.561,255,255,255,15.872
160,56.074,255,255,255,26.900
161,10322.749,255,255,255,392.148
162,657.234,255,255,255,99.525
163,9206.494,255,255,255,367.924
164,54.770,255,255,255,26.900
165,18.257,255,255,255,15.872
166,70.418,255,255,255,29.853
167,18.257,255,255,255,16.818
168,75.634,255,255,255,31.745
169,18.257,255,255,255,15.204
170,57.378,255,255,255,28.515
171,26.081,255,255,255,17.487
172,165.613,255,255,255,50.293
173,350.786,255,255,255,68.449
174,16.952,255,255,255,13.589
175,226.902,255,255,255,57.422
176,103.019,255,255,255,40.212
177,45.641,255,255,255,23.670
178,15.648,255,255,255,14.257
179,116.059,255,255,255,40.212
180,11.736,255,255,255,11.028
181,916.737,255,255,255,119.411
182,884.136,255,255,255,117.128
183,31.297,255,255,255,21.386
184,246.463,255,255,255,61.598
185,247.767,255,255,255,58.368
186,100.411,255,255,255,35.644
187,56.074,255,255,255,27.569
188,41.729,255,255,255,23.001
189,87.370,255,255,255,33.360
190,11.736,255,255,255,11.028
191,284.280,255,255,255,61.990
192,16.952,255,255,255,15.204
193,410.771,255,255,255,74.632
194,35.209,255,255,255,20.048
195,134.316,255,255,255,42.495
196,15420.226,255,255,255,476.700
197,31.297,255,255,255,19.771
198,48.249,255,255,255,26.231
199,129.100,255,255,255,41.158
200,11427.267,255,255,255,402.736
201,671.579,255,255,255,98.694
202,9722.892,255,255,255,387.256
203,10637.022,255,255,255,405.689
204,28.689,255,255,255,19.102
205,31.297,255,255,255,20.717
206,16.952,255,255,255,14.926
207,12660.885,255,255,255,425.852
208,11.736,255,255,255,11.974
209,13.040,255,255,255,12.920
210,152.572,255,255,255,44.502
211,6541.045,255,255,255,305.657
212,35.209,255,255,255,20.717
213,22.169,255,255,255,17.487
214,8525.787,255,255,255,350.666
215,44.337,255,255,255,24.616
216,48.249,255,255,255,25.285
217,29.993,255,255,255,18.825
218,35.209,255,255,255,22.055
219,1251.875,255,255,255,136.230
220,52.161,255,255,255,26.623
221,11083.002,255,255,255,405.966
222,126.491,255,255,255,44.110
223,11.736,255,255,255,11.028
224,1249.266,255,255,255,133.392
225,40.425,255,255,255,23.947
226,10.432,255,255,255,10.359
227,199.518,255,255,255,52.577
228,87.370,255,255,255,34.698
229,15.648,255,255,255,13.589
230,20.865,255,255,255,16.541
231,18.257,255,255,255,16.818
232,62.594,255,255,255,27.846
233,117.363,255,255,255,40.880
234,11.736,255,255,255,12.643
235,139.532,255,255,255,44.110
236,20.865,255,255,255,15.872
237,10.432,255,255,255,10.359
238,19.561,255,255,255,15.204
239,10402.295,255,255,255,393.324
240,11.736,255,255,255,11.974
241,80.850,255,255,255,32.414
242,719.828,255,255,255,104.093
243,23.473,255,255,255,17.487
244,27.385,255,255,255,18.825
245,457.717,255,255,255,79.477
246,36.513,255,255,255,21.386
247,15.648,255,255,255,13.589
248,114.755,255,255,255,39.543
249,13.040,255,255,255,12.920
250,89.978,255,255,255,34.975
251,83.458,255,255,255,32.414
252,11.736,255,255,255,11.974
253,166.917,255,255,255,48.678
254,11.736,255,255,255,11.974
255,76.938,255,255,255,33.360
256,290.800,255,255,255,65.220
257,112.147,255,255,255,40.212
258,29.993,255,255,255,19.771
259,147.356,255,255,255,46.002
260,23.473,255,255,255,17.487
261,16.952,255,255,255,15.204
262,140.836,255,255,255,45.333
263,14.344,255,255,255,13.589
264,4088.153,255,255,255,247.289
265,18.257,255,255,255,15.204
266,10.432,255,255,255,11.305
267,176.045,255,255,255,48.678
268,177.349,255,255,255,49.624
269,1478.777,255,255,255,146.311
270,61.290,255,255,255,28.515
271,303.840,255,255,255,62.659
272,15.648,255,255,255,15.204
273,899.785,255,255,255,113.229
274,110.843,255,255,255,38.874
275,26.081,255,255,255,19.102
276,209.950,255,255,255,53.131
277,11.736,255,255,255,11.974
278,22.169,255,255,255,16.541
279,245.159,255,255,255,61.044
280,33.905,255,255,255,20.717
281,27.385,255,255,255,20.048
282,54.770,255,255,255,26.231
283,22.169,255,255,255,17.487
284,66.506,255,255,255,29.461
285,13251.614,255,255,255,438.772
286,35.209,255,255,255,20.717
287,118.667,255,255,255,39.265
288,1014.540,255,255,255,122.641
289,76.938,255,255,255,31.745
290,11054.313,255,255,255,393.993
291,147.356,255,255,255,44.779
292,2215.557,255,255,255,179.786
293,7066.571,255,255,255,326.375
294,2239.030,255,255,255,182.185
295,24.777,255,255,255,17.487
296,19.561,255,255,255,14.926
297,414.683,255,255,255,77.308
298,837.191,255,255,255,113.229
299,62.594,255,255,255,29.461
300,219.078,255,255,255,55.138
301,3916.020,255,255,255,244.337
302,747.213,255,255,255,108.269
303,7955.924,255,255,255,341.808
304,59.986,255,255,255,29.461
305,53.465,255,255,255,25.562
306,130.404,255,255,255,44.387
307,22.169,255,255,255,18.156
308,27.385,255,255,255,20.048
309,27.385,255,255,255,20.440
310,16.952,255,255,255,14.257
311,161.700,255,255,255,46.671
312,164.309,255,255,255,49.624
313,73.026,255,255,255,32.414
314,29.993,255,255,255,18.825
315,20.865,255,255,255,16.541
316,26.081,255,255,255,19.102
