 ,Area,Mean,Min,Max,Perim.
1,22.433,255,255,255,15.967
2,36.949,255,255,255,21.792
3,91.053,255,255,255,35.577
4,952.758,255,255,255,117.152
5,48.826,255,255,255,27.060
6,10.557,255,255,255,12.045
7,83.135,255,255,255,34.904
8,52.784,255,255,255,27.060
9,13.196,255,255,255,13.669
10,162.312,255,255,255,46.949
11,40.908,255,255,255,22.465
12,58.063,255,255,255,27.733
13,17.155,255,255,255,15.294
14,47.506,255,255,255,25.157
15,89.733,255,255,255,34.626
16,21.114,255,255,255,15.967
17,234.890,255,255,255,60.619
18,67.300,255,255,255,29.636
19,373.449,255,255,255,72.779
20,47.506,255,255,255,25.436
21,10.557,255,255,255,12.045
22,21.114,255,255,255,16.640
23,56.743,255,255,255,28.685
24,65.980,255,255,255,28.963
25,1566.376,255,255,255,152.450
26,149.116,255,255,255,44.373
27,343.098,255,255,255,70.203
28,43.547,255,255,255,24.090
29,11.876,255,255,255,12.045
30,8193.455,255,255,255,349.552
31,827.395,255,255,255,108.635
32,174.188,255,255,255,50.592
33,85.775,255,255,255,33.953
34,15.835,255,255,255,15.015
35,93.692,255,255,255,35.577
36,1170.494,255,255,255,129.591
37,261.283,255,255,255,59.388
38,17.155,255,255,255,15.294
39,143.837,255,255,255,46.276
40,141.198,255,255,255,45.998
41,51.465,255,255,255,25.436
42,72.579,255,255,255,31.655
43,14.516,255,255,255,13.669
44,5456.585,255,255,255,282.041
45,240.169,255,255,255,59.388
46,2437.319,255,255,255,191.277
47,34.310,255,255,255,21.514
48,69.939,255,255,255,30.031
49,11.876,255,255,255,12.718
50,482.977,255,255,255,83.872
51,43.547,255,255,255,26.109
52,34.310,255,255,255,22.465
53,84.455,255,255,255,33.953
54,72.579,255,255,255,30.982
55,151.755,255,255,255,48.295
56,23.753,255,255,255,16.640
57,39.588,255,255,255,22.859
58,11.876,255,255,255,12.045
59,337.820,255,255,255,70.760
60,1285.300,255,255,255,137.435
61,205.859,255,255,255,52.217
62,87.094,255,255,255,33.558
63,674.320,255,255,255,99.445
64,162.312,255,255,255,46.949
65,2876.748,255,255,255,203.322
66,477.699,255,255,255,86.170
67,303.510,255,255,255,65.214
68,15.835,255,255,255,15.294
69,83.135,255,255,255,34.231
70,469.781,255,255,255,85.776
71,100.290,255,255,255,37.875
72,232.251,255,255,255,57.369
73,17.155,255,255,255,13.669
74,150.435,255,255,255,45.325
75,25.073,255,255,255,18.543
76,30.351,255,255,255,21.514
77,95.012,255,255,255,36.529
78,97.651,255,255,255,35.577
79,124.043,255,255,255,41.403
80,31.671,255,255,255,19.889
81,2309.316,255,255,255,181.693
82,159.673,255,255,255,48.968
83,71.259,255,255,255,31.655
84,31.671,255,255,255,19.889
85,89.733,255,255,255,34.904
86,740.301,255,255,255,103.204
87,80.496,255,255,255,33.280
88,113.486,255,255,255,40.172
89,13.196,255,255,255,12.045
90,105.569,255,255,255,38.432
91,143.837,255,255,255,46.276
92,138.559,255,255,255,45.603
93,27.712,255,255,255,18.937
94,253.365,255,255,255,59.388
95,1748.482,255,255,255,165.168
96,106.888,255,255,255,38.432
97,10.557,255,255,255,12.045
98,10.557,255,255,255,12.045
99,10.557,255,255,255,12.045
100,741.620,255,255,255,102.810
101,1297.176,255,255,255,136.762
102,15.835,255,255,255,14.342
103,4711.006,255,255,255,263.614
104,89.733,255,255,255,34.626
105,364.212,255,255,255,75.355
106,110.847,255,255,255,40.730
107,911.850,255,255,255,116.873
108,128.002,255,255,255,42.075
109,100.290,255,255,255,36.529
110,59.382,255,255,255,27.060
111,27.712,255,255,255,18.543
112,248.087,255,255,255,60.340
113,80.496,255,255,255,32.607
114,69.939,255,255,255,31.934
115,1343.362,255,255,255,143.539
116,73.898,255,255,255,32.607
117,7421.483,255,255,255,337.229
118,31.671,255,255,255,19.889
119,105.569,255,255,255,38.432
120,740.301,255,255,255,103.482
121,925.046,255,255,255,115.527
122,27.712,255,255,255,19.889
123,18.475,255,255,255,15.294
124,534.442,255,255,255,87.794
125,1736.606,255,255,255,161.131
126,15.835,255,255,255,13.669
127,30.351,255,255,255,18.937
128,162.312,255,255,255,47.622
129,51.465,255,255,255,26.387
130,65.980,255,255,255,28.012
131,11.876,255,255,255,12.045
132,1260.227,255,255,255,133.513
133,25.073,255,255,255,18.264
134,10827.395,255,255,255,394.598
