 ,Area,Mean,Min,Max,Perim.
1,101.962,255,255,255,37.733
2,1.291,255,255,255,3.213
3,2.581,255,255,255,5.485
4,530.459,255,255,255,88.318
5,2.581,255,255,255,5.485
6,2.581,255,255,255,4.820
7,1.291,255,255,255,3.213
8,200.052,255,255,255,54.464
9,25.813,255,255,255,18.063
10,2.581,255,255,255,4.820
11,179.401,255,255,255,51.917
12,202.633,255,255,255,52.307
13,2.581,255,255,255,4.820
14,2.581,255,255,255,4.820
15,335.570,255,255,255,68.373
16,5.163,255,255,255,8.033
17,30.976,255,255,255,21.942
18,9.035,255,255,255,11.247
19,2514.197,255,255,255,190.108
20,6.453,255,255,255,8.699
21,6.453,255,255,255,9.640
22,1351.316,255,255,255,138.467
23,6.453,255,255,255,8.699
24,343.314,255,255,255,69.704
25,3.872,255,255,255,7.092
26,6.453,255,255,255,8.699
27,117.450,255,255,255,40.280
28,2.581,255,255,255,5.485
29,966.701,255,255,255,117.076
30,748.580,255,255,255,103.006
31,1.291,255,255,255,3.213
32,29.685,255,255,255,19.280
33,2.581,255,255,255,5.485
34,28.394,255,255,255,19.004
35,656.944,255,255,255,101.286
36,70.986,255,255,255,30.640
37,95.509,255,255,255,34.519
38,1.291,255,255,255,3.213
39,21.941,255,255,255,16.456
40,971.864,255,255,255,120.680
41,1.291,255,255,255,3.213
42,5.163,255,255,255,6.427
43,1.291,255,255,255,3.213
44,126.484,255,255,255,44.435
45,2934.951,255,255,255,209.502
46,2458.699,255,255,255,193.207
47,2.581,255,255,255,5.485
48,1.291,255,255,255,3.213
49,9.035,255,255,255,11.912
50,1.291,255,255,255,3.213
51,10.325,255,255,255,12.578
52,290.398,255,255,255,62.612
53,303.304,255,255,255,64.608
54,454.311,255,255,255,84.164
55,449.148,255,255,255,78.678
56,3.872,255,255,255,6.427
57,644.037,255,255,255,95.249
58,1.291,255,255,255,3.213
59,291.688,255,255,255,67.042
60,6.453,255,255,255,8.699
61,1260.971,255,255,255,135.529
62,1.291,255,255,255,3.213
63,1.291,255,255,255,3.213
64,367.837,255,255,255,70.645
65,415.591,255,255,255,76.520
66,3.872,255,255,255,6.427
67,2.581,255,255,255,5.485
68,907.331,255,255,255,112.646
69,878.936,255,255,255,113.863
70,184.564,255,255,255,53.248
71,383.325,255,255,255,75.465
72,1.291,255,255,255,3.213
73,121.322,255,255,255,42.277
74,1.291,255,255,255,3.213
75,1.291,255,255,255,3.213
76,1.291,255,255,255,3.213
77,6.453,255,255,255,8.699
78,1.291,255,255,255,3.213
79,2.581,255,255,255,4.820
80,331.699,255,255,255,66.766
81,192.308,255,255,255,52.468
82,21.941,255,255,255,16.732
83,109.706,255,255,255,37.733
84,6.453,255,255,255,9.640
85,2.581,255,255,255,4.820
86,2.581,255,255,255,5.485
87,232.318,255,255,255,57.126
88,424.626,255,255,255,78.954
89,3.872,255,255,255,6.427
90,85.183,255,255,255,36.402
91,2.581,255,255,255,4.820
92,3042.075,255,255,255,213.381
93,1528.136,255,255,255,148.107
94,9.035,255,255,255,11.912
95,43.882,255,255,255,23.159
96,330.408,255,255,255,69.314
97,33.557,255,255,255,21.276
98,29.685,255,255,255,20.611
99,258.131,255,255,255,59.399
100,1.291,255,255,255,3.213
101,1.291,255,255,255,3.213
102,2.581,255,255,255,5.485
103,6.453,255,255,255,8.699
104,7.744,255,255,255,8.699
105,20.650,255,255,255,15.791
106,7.744,255,255,255,9.640
107,1178.369,255,255,255,134.588
108,151.007,255,255,255,45.766
109,627.259,255,255,255,92.311
110,2492.256,255,255,255,194.262
111,37.429,255,255,255,22.217
112,242.643,255,255,255,59.009
113,91.637,255,255,255,35.185
114,58.080,255,255,255,27.703
115,16.779,255,255,255,13.519
116,1004.130,255,255,255,120.128
117,474.961,255,255,255,85.105
118,5.163,255,255,255,8.033
119,10.325,255,255,255,10.305
120,19.360,255,255,255,15.791
121,1.291,255,255,255,3.213
122,1.291,255,255,255,3.213
123,1925.658,255,255,255,165.343
124,1.291,255,255,255,3.213
125,219.411,255,255,255,54.854
126,842.798,255,255,255,110.650
127,385.906,255,255,255,76.796
128,1.291,255,255,255,3.213
129,1.291,255,255,255,3.213
130,1.291,255,255,255,3.213
131,1.291,255,255,255,3.213
132,740.836,255,255,255,103.558
133,1371.967,255,255,255,142.621
134,264.584,255,255,255,62.222
135,343.314,255,255,255,67.432
136,1.291,255,255,255,3.213
137,1.291,255,255,255,3.213
138,6.453,255,255,255,8.699
139,56.789,255,255,255,29.309
140,3.872,255,255,255,6.427
141,853.123,255,255,255,111.040
142,42.592,255,255,255,24.214
143,423.335,255,255,255,78.793
144,37.429,255,255,255,22.883
145,774.393,255,255,255,104.223
146,3.872,255,255,255,6.427
147,3.872,255,255,255,6.427
148,1.291,255,255,255,3.213
149,1.291,255,255,255,3.213
150,68.405,255,255,255,30.640
151,29.685,255,255,255,20.611
152,54.208,255,255,255,27.703
153,2.581,255,255,255,4.820
154,2.581,255,255,255,4.820
155,296.851,255,255,255,63.829
156,145.844,255,255,255,44.825
157,6.453,255,255,255,8.699
158,225.865,255,255,255,58.343
159,1532.008,255,255,255,149.438
160,65.823,255,255,255,31.306
161,16.779,255,255,255,15.791
162,344.605,255,255,255,72.527
163,993.805,255,255,255,121.621
164,1.291,255,255,255,3.213
165,25.813,255,255,255,19.670
166,398.813,255,255,255,78.403
167,32.266,255,255,255,21.276
168,10.325,255,255,255,10.305
169,118.740,255,255,255,39.339
170,3.872,255,255,255,6.427
171,49.045,255,255,255,25.155
172,121.322,255,255,255,40.005
173,91.637,255,255,255,33.854
174,1351.316,255,255,255,140.853
175,179.401,255,255,255,49.369
176,15.488,255,255,255,13.243
177,1.291,255,255,255,3.213
178,281.363,255,255,255,62.888
179,2.581,255,255,255,4.820
180,9.035,255,255,255,11.912
181,1.291,255,255,255,3.213
182,3.872,255,255,255,7.758
183,265.875,255,255,255,61.005
184,1.291,255,255,255,3.213
185,3.872,255,255,255,7.092
186,149.716,255,255,255,45.880
187,2.581,255,255,255,4.820
188,5.163,255,255,255,8.699
189,104.543,255,255,255,37.067
190,1.291,255,255,255,3.213
191,117.450,255,255,255,40.946
192,5.163,255,255,255,6.427
193,375.581,255,255,255,71.700
194,693.082,255,255,255,101.010
195,1214.507,255,255,255,130.709
196,712.442,255,255,255,99.403
197,42.592,255,255,255,23.824
198,69.695,255,255,255,30.916
199,1.291,255,255,255,3.213
